ts_iso,symbol,source,subsource,kind,seq_or_tradeid,px,sz,bid,ask,mid,recv_ts,ws_ts,arrival_ms,note
2025-11-10T14:05:54.825Z,SOLUSDT,mmap,./rings/binance_trade_chunk3,1,235660,168.51,0.115,,,,1762783554813,0,1762783554825,
2025-11-10T14:05:54.825Z,SOLUSDT,mmap,./rings/binance_trade_chunk3,1,235661,168.51,0.032,,,,1762783554813,0,1762783554825,
2025-11-10T14:05:54.825Z,SOLUSDT,mmap,./rings/binance_trade_chunk3,1,235662,168.51,0.032,,,,1762783554813,0,1762783554825,
2025-11-10T14:05:54.825Z,SOLUSDT,mmap,./rings/binance_trade_chunk3,1,235663,168.51,0.032,,,,1762783554813,0,1762783554825,
2025-11-10T14:05:54.825Z,SOLUSDT,mmap,./rings/binance_trade_chunk3,1,235664,168.51,0.032,,,,1762783554814,0,1762783554825,
2025-11-10T14:05:54.825Z,SOLUSDT,mmap,./rings/binance_trade_chunk3,1,235665,168.51,0.032,,,,1762783554814,0,1762783554825,
2025-11-10T14:05:54.825Z,SOLUSDT,mmap,./rings/binance_trade_chunk3,1,235666,168.51,0.032,,,,1762783554814,0,1762783554825,
2025-11-10T14:05:54.825Z,SOLUSDT,mmap,./rings/binance_trade_chunk3,1,235667,168.51,0.03,,,,1762783554814,0,1762783554825,
2025-11-10T14:05:54.825Z,SOLUSDT,mmap,./rings/binance_trade_chunk3,1,235668,168.51,0.032,,,,1762783554814,0,1762783554825,
2025-11-10T14:05:54.827Z,SOLUSDT,ws,ws,1,1703877110,168.51,4.306,,,,0,1762783554671,1762783554827,
2025-11-10T14:05:54.827Z,SOLUSDT,ws,ws,1,1703877111,168.51,1.227,,,,0,1762783554671,1762783554827,
2025-11-10T14:05:54.827Z,SOLUSDT,ws,ws,1,1703877112,168.51,0.115,,,,0,1762783554671,1762783554827,
2025-11-10T14:05:54.827Z,SOLUSDT,ws,ws,1,1703877113,168.51,0.032,,,,0,1762783554671,1762783554827,
2025-11-10T14:05:54.827Z,SOLUSDT,ws,ws,1,1703877114,168.51,0.032,,,,0,1762783554671,1762783554827,
2025-11-10T14:05:54.827Z,SOLUSDT,ws,ws,1,1703877115,168.51,0.032,,,,0,1762783554671,1762783554827,
2025-11-10T14:05:54.828Z,SOLUSDT,ws,ws,1,1703877116,168.51,0.032,,,,0,1762783554671,1762783554827,
2025-11-10T14:05:54.828Z,SOLUSDT,ws,ws,1,1703877117,168.51,0.032,,,,0,1762783554671,1762783554828,
2025-11-10T14:05:54.828Z,SOLUSDT,ws,ws,1,1703877118,168.51,0.032,,,,0,1762783554671,1762783554828,
2025-11-10T14:05:54.828Z,SOLUSDT,ws,ws,1,1703877119,168.51,0.03,,,,0,1762783554671,1762783554828,
2025-11-10T14:05:54.828Z,SOLUSDT,ws,ws,1,1703877120,168.51,0.032,,,,0,1762783554671,1762783554828,
2025-11-10T14:05:55.119Z,SOLUSDT,ws,ws,1,1703877121,168.51,1,,,,0,1762783554965,1762783555119,
2025-11-10T14:05:55.131Z,SOLUSDT,mmap,./rings/binance_trade_chunk3,1,235699,168.51,1,,,,1762783555115,0,1762783555131,
2025-11-10T14:05:55.436Z,SOLUSDT,mmap,./rings/binance_trade_chunk3,1,235718,168.51,0.03,,,,1762783555411,0,1762783555436,
2025-11-10T14:05:55.460Z,SOLUSDT,ws,ws,1,1703877122,168.51,0.03,,,,0,1762783555263,1762783555460,
2025-11-10T14:05:55.528Z,SOLUSDT,ws,ws,1,1703877123,168.51,0.035,,,,0,1762783555376,1762783555528,
2025-11-10T14:05:55.531Z,SOLUSDT,ws,ws,1,1703877124,168.51,0.118,,,,0,1762783555378,1762783555531,
2025-11-10T14:05:55.539Z,SOLUSDT,mmap,./rings/binance_trade_chunk3,1,235730,168.51,0.035,,,,1762783555518,0,1762783555538,
2025-11-10T14:05:55.539Z,SOLUSDT,mmap,./rings/binance_trade_chunk3,1,235731,168.51,0.118,,,,1762783555520,0,1762783555539,
2025-11-10T14:05:55.630Z,SOLUSDT,ws,ws,1,1703877125,168.51,0.094,,,,0,1762783555475,1762783555630,
