ts_iso,symbol,source,subsource,kind,seq_or_tradeid,px,sz,bid,ask,mid,recv_ts,ws_ts,arrival_ms,price_diff,matched_with,note
2025-10-28T21:12:07.430Z,XRPUSDT,mmap,rings/binance_trade_chunk3,1,11166,2.5762,162,,,,1761685927376,0,1761685927430,,,
2025-10-28T21:12:07.432Z,XRPUSDT,mmap,rings/binance_trade_chunk3,1,11187,2.5762,107.1,,,,1761685927379,0,1761685927432,,,
2025-10-28T21:12:07.432Z,XRPUSDT,mmap,rings/binance_trade_chunk3,1,11188,2.5762,945.2,,,,1761685927379,0,1761685927432,,,
2025-10-28T21:12:07.432Z,XRPUSDT,mmap,rings/binance_trade_chunk3,1,11189,2.5762,945.2,,,,1761685927379,0,1761685927432,,,
2025-10-28T21:12:07.432Z,XRPUSDT,mmap,rings/binance_trade_chunk3,1,11190,2.5762,441.3,,,,1761685927379,0,1761685927432,,,
2025-10-28T21:12:07.432Z,XRPUSDT,mmap,rings/binance_trade_chunk3,1,11191,2.5762,2,,,,1761685927379,0,1761685927432,,,
2025-10-28T21:12:07.432Z,XRPUSDT,mmap,rings/binance_trade_chunk3,1,11192,2.5762,2,,,,1761685927379,0,1761685927432,,,
2025-10-28T21:12:07.432Z,XRPUSDT,mmap,rings/binance_trade_chunk3,1,11193,2.5762,2,,,,1761685927379,0,1761685927432,,,
2025-10-28T21:12:07.432Z,XRPUSDT,mmap,rings/binance_trade_chunk3,1,11194,2.5762,2,,,,1761685927379,0,1761685927432,,,
2025-10-28T21:12:07.433Z,XRPUSDT,mmap,rings/binance_trade_chunk3,1,11195,2.5762,2,,,,1761685927379,0,1761685927432,,,
2025-10-28T21:12:07.440Z,XRPUSDT,mmap,rings/binance_trade_chunk3,1,11310,2.5763,2,,,,1761685927427,0,1761685927439,,,
2025-10-28T21:12:07.440Z,XRPUSDT,mmap,rings/binance_trade_chunk3,1,11311,2.5763,2.1,,,,1761685927427,0,1761685927440,,,
2025-10-28T21:12:07.440Z,XRPUSDT,mmap,rings/binance_trade_chunk3,1,11312,2.5763,2.1,,,,1761685927427,0,1761685927440,,,
2025-10-28T21:12:07.440Z,XRPUSDT,mmap,rings/binance_trade_chunk3,1,11313,2.5763,2,,,,1761685927427,0,1761685927440,,,
2025-10-28T21:12:07.440Z,XRPUSDT,mmap,rings/binance_trade_chunk3,1,11314,2.5763,2.1,,,,1761685927427,0,1761685927440,,,
2025-10-28T21:12:07.440Z,XRPUSDT,mmap,rings/binance_trade_chunk3,1,11315,2.5764,2,,,,1761685927427,0,1761685927440,,,
2025-10-28T21:12:07.440Z,XRPUSDT,mmap,rings/binance_trade_chunk3,1,11316,2.5764,2,,,,1761685927427,0,1761685927440,,,
2025-10-28T21:12:07.440Z,XRPUSDT,mmap,rings/binance_trade_chunk3,1,11317,2.5764,2.1,,,,1761685927427,0,1761685927440,,,
2025-10-28T21:12:07.521Z,XRPUSDT,mmap,rings/binance_trade_chunk3,1,11310,2.5763,2,,,,1761685927427,0,1761685927521,,,
2025-10-28T21:12:07.521Z,XRPUSDT,mmap,rings/binance_trade_chunk3,1,11311,2.5763,2.1,,,,1761685927427,0,1761685927521,,,
2025-10-28T21:12:07.521Z,XRPUSDT,mmap,rings/binance_trade_chunk3,1,11312,2.5763,2.1,,,,1761685927427,0,1761685927521,,,
2025-10-28T21:12:07.521Z,XRPUSDT,mmap,rings/binance_trade_chunk3,1,11313,2.5763,2,,,,1761685927427,0,1761685927521,,,
2025-10-28T21:12:07.521Z,XRPUSDT,mmap,rings/binance_trade_chunk3,1,11314,2.5763,2.1,,,,1761685927427,0,1761685927521,,,
2025-10-28T21:12:07.522Z,XRPUSDT,mmap,rings/binance_trade_chunk3,1,11315,2.5764,2,,,,1761685927427,0,1761685927521,,,
2025-10-28T21:12:07.522Z,XRPUSDT,mmap,rings/binance_trade_chunk3,1,11316,2.5764,2,,,,1761685927427,0,1761685927522,,,
2025-10-28T21:12:07.522Z,XRPUSDT,mmap,rings/binance_trade_chunk3,1,11317,2.5764,2.1,,,,1761685927427,0,1761685927522,,,
2025-10-28T21:12:07.530Z,XRPUSDT,mmap,rings/binance_trade_chunk3,1,11480,2.5764,2,,,,1761685927498,0,1761685927530,,,
2025-10-28T21:12:07.530Z,XRPUSDT,mmap,rings/binance_trade_chunk3,1,11481,2.5764,2,,,,1761685927498,0,1761685927530,,,
2025-10-28T21:12:07.530Z,XRPUSDT,mmap,rings/binance_trade_chunk3,1,11482,2.5764,2,,,,1761685927498,0,1761685927530,,,
2025-10-28T21:12:07.530Z,XRPUSDT,mmap,rings/binance_trade_chunk3,1,11483,2.5764,2,,,,1761685927499,0,1761685927530,,,
2025-10-28T21:12:07.530Z,XRPUSDT,mmap,rings/binance_trade_chunk3,1,11484,2.5764,2,,,,1761685927499,0,1761685927530,,,
2025-10-28T21:12:07.531Z,XRPUSDT,mmap,rings/binance_trade_chunk3,1,11485,2.5764,2,,,,1761685927499,0,1761685927531,,,
2025-10-28T21:12:07.531Z,XRPUSDT,mmap,rings/binance_trade_chunk3,1,11486,2.5764,2.1,,,,1761685927499,0,1761685927531,,,
2025-10-28T21:12:07.531Z,XRPUSDT,mmap,rings/binance_trade_chunk3,1,11487,2.5764,2.1,,,,1761685927499,0,1761685927531,,,
2025-10-28T21:12:07.531Z,XRPUSDT,mmap,rings/binance_trade_chunk3,1,11488,2.5764,2707.4,,,,1761685927499,0,1761685927531,,,
2025-10-28T21:12:07.742Z,XRPUSDT,mmap,rings/binance_trade_chunk3,1,11514,2.5765,2,,,,1761685927703,0,1761685927742,,,
2025-10-28T21:12:07.743Z,XRPUSDT,mmap,rings/binance_trade_chunk3,1,11515,2.5765,2,,,,1761685927703,0,1761685927742,,,
2025-10-28T21:12:07.743Z,XRPUSDT,mmap,rings/binance_trade_chunk3,1,11516,2.5765,2,,,,1761685927703,0,1761685927743,,,
2025-10-28T21:12:07.743Z,XRPUSDT,mmap,rings/binance_trade_chunk3,1,11517,2.5765,2,,,,1761685927703,0,1761685927743,,,
2025-10-28T21:12:07.743Z,XRPUSDT,mmap,rings/binance_trade_chunk3,1,11518,2.5765,29.4,,,,1761685927703,0,1761685927743,,,
2025-10-28T21:12:07.743Z,XRPUSDT,mmap,rings/binance_trade_chunk3,1,11520,2.5764,2,,,,1761685927710,0,1761685927743,,,
2025-10-28T21:12:07.743Z,XRPUSDT,mmap,rings/binance_trade_chunk3,1,11521,2.5764,2.1,,,,1761685927710,0,1761685927743,,,
2025-10-28T21:12:07.743Z,XRPUSDT,mmap,rings/binance_trade_chunk3,1,11522,2.5764,2.1,,,,1761685927710,0,1761685927743,,,
2025-10-28T21:12:07.743Z,XRPUSDT,mmap,rings/binance_trade_chunk3,1,11523,2.5764,2,,,,1761685927710,0,1761685927743,,,
2025-10-28T21:12:07.744Z,XRPUSDT,mmap,rings/binance_trade_chunk3,1,11524,2.5764,2,,,,1761685927710,0,1761685927744,,,
